ProductId,CategoryId,BrandId,Name,Slug,Description,BasePrice,Status,IsDeleted,CreatedAt
39,7,,Khăn quàng cổ Streetwear,khan-quang-co-streetwear-39,Khăn quàng cổ xanh phong cách Streetwear dành cho Phụ kiện,225000,Active,0,2026-02-08 10:00:00
40,6,,Quần jean nữ Vintage,quan-jean-nu-vintage-40,Quần jean nữ đen phong cách Vintage dành cho Nữ - Quần,800000,Active,0,2026-02-08 10:00:00
41,2,,Quần short Minimal,quan-short-minimal-41,Quần short xám phong cách Minimal dành cho Nam - Quần,582000,Active,0,2026-02-08 10:00:00
42,8,,Sandal Vintage,sandal-vintage-42,Sandal be phong cách Vintage dành cho Giày dép,1470000,Active,0,2026-02-08 10:00:00
43,8,,Giày lười Minimal,giay-luoi-minimal-43,Giày lười xanh phong cách Minimal dành cho Giày dép,990000,Active,0,2026-02-08 10:00:00
44,2,,Quần jean Vintage,quan-jean-vintage-44,Quần jean xám phong cách Vintage dành cho Nam - Quần,758000,Active,0,2026-02-08 10:00:00
45,1,,Áo sweater Minimal,ao-sweater-minimal-45,Áo sweater trắng phong cách Minimal dành cho Nam - Áo,316000,Active,0,2026-02-08 10:00:00
46,1,,Áo sweater Minimal,ao-sweater-minimal-46,Áo sweater be phong cách Minimal dành cho Nam - Áo,546000,Active,0,2026-02-08 10:00:00
47,1,,Áo sơ mi Sporty,ao-so-mi-sporty-47,Áo sơ mi đỏ phong cách Sporty dành cho Nam - Áo,266000,Active,0,2026-02-08 10:00:00
48,5,,Đầm ôm Vintage,am-om-vintage-48,Đầm ôm xanh phong cách Vintage dành cho Nữ - Váy & Đầm,2090000,Active,0,2026-02-08 10:00:00
49,1,,Áo sweater Sporty,ao-sweater-sporty-49,Áo sweater trắng phong cách Sporty dành cho Nam - Áo,251000,Active,0,2026-02-08 10:00:00
50,3,,Áo khoác dạ Casual,ao-khoac-da-casual-50,Áo khoác dạ xanh phong cách Casual dành cho Nam - Áo khoác,1423000,Active,0,2026-02-08 10:00:00
51,5,,Váy bút chì Streetwear,vay-but-chi-streetwear-51,Váy bút chì đen phong cách Streetwear dành cho Nữ - Váy & Đầm,2163000,Active,0,2026-02-08 10:00:00
52,5,,Đầm ôm Minimal,am-om-minimal-52,Đầm ôm đen phong cách Minimal dành cho Nữ - Váy & Đầm,1957000,Active,0,2026-02-08 10:00:00
53,2,,Quần jean Minimal,quan-jean-minimal-53,Quần jean đỏ phong cách Minimal dành cho Nam - Quần,1029000,Active,0,2026-02-08 10:00:00
54,6,,Quần legging Vintage,quan-legging-vintage-54,Quần legging trắng phong cách Vintage dành cho Nữ - Quần,399000,Active,0,2026-02-08 10:00:00
55,1,,Áo polo Casual,ao-polo-casual-55,Áo polo đen phong cách Casual dành cho Nam - Áo,356000,Active,0,2026-02-08 10:00:00
56,7,,Túi xách Formal,tui-xach-formal-56,Túi xách be phong cách Formal dành cho Phụ kiện,130000,Active,0,2026-02-08 10:00:00
57,7,,Túi xách Formal,tui-xach-formal-57,Túi xách trắng phong cách Formal dành cho Phụ kiện,411000,Active,0,2026-02-08 10:00:00
58,6,,Quần legging Minimal,quan-legging-minimal-58,Quần legging đen phong cách Minimal dành cho Nữ - Quần,966000,Active,0,2026-02-08 10:00:00
59,8,,Giày boot Vintage,giay-boot-vintage-59,Giày boot trắng phong cách Vintage dành cho Giày dép,1345000,Active,0,2026-02-08 10:00:00
60,4,,Áo cardigan Streetwear,ao-cardigan-streetwear-60,Áo cardigan đỏ phong cách Streetwear dành cho Nữ - Áo,193000,Active,0,2026-02-08 10:00:00
61,8,,Giày sneaker Casual,giay-sneaker-casual-61,Giày sneaker đen phong cách Casual dành cho Giày dép,1242000,Active,0,2026-02-08 10:00:00
62,1,,Áo sweater Minimal,ao-sweater-minimal-62,Áo sweater xanh phong cách Minimal dành cho Nam - Áo,297000,Active,0,2026-02-08 10:00:00
63,7,,Thắt lưng Streetwear,that-lung-streetwear-63,Thắt lưng be phong cách Streetwear dành cho Phụ kiện,949000,Active,0,2026-02-08 10:00:00
64,6,,Quần jean nữ Sporty,quan-jean-nu-sporty-64,Quần jean nữ trắng phong cách Sporty dành cho Nữ - Quần,1182000,Active,0,2026-02-08 10:00:00
65,7,,Mũ lưỡi trai Vintage,mu-luoi-trai-vintage-65,Mũ lưỡi trai trắng phong cách Vintage dành cho Phụ kiện,971000,Active,0,2026-02-08 10:00:00
66,2,,Quần kaki Streetwear,quan-kaki-streetwear-66,Quần kaki đen phong cách Streetwear dành cho Nam - Quần,399000,Active,0,2026-02-08 10:00:00
67,7,,Mũ lưỡi trai Sporty,mu-luoi-trai-sporty-67,Mũ lưỡi trai đỏ phong cách Sporty dành cho Phụ kiện,161000,Active,0,2026-02-08 10:00:00
68,2,,Quần short Sporty,quan-short-sporty-68,Quần short đen phong cách Sporty dành cho Nam - Quần,387000,Active,0,2026-02-08 10:00:00
69,8,,Giày boot Casual,giay-boot-casual-69,Giày boot trắng phong cách Casual dành cho Giày dép,1907000,Active,0,2026-02-08 10:00:00
70,3,,Áo khoác jean Sporty,ao-khoac-jean-sporty-70,Áo khoác jean đen phong cách Sporty dành cho Nam - Áo khoác,997000,Active,0,2026-02-08 10:00:00
71,7,,Khăn quàng cổ Casual,khan-quang-co-casual-71,Khăn quàng cổ đen phong cách Casual dành cho Phụ kiện,159000,Active,0,2026-02-08 10:00:00
72,4,,Áo sơ mi nữ Casual,ao-so-mi-nu-casual-72,Áo sơ mi nữ trắng phong cách Casual dành cho Nữ - Áo,720000,Active,0,2026-02-08 10:00:00
73,5,,Váy chữ A Minimal,vay-chu-a-minimal-73,Váy chữ A xanh phong cách Minimal dành cho Nữ - Váy & Đầm,1868000,Active,0,2026-02-08 10:00:00
74,1,,Áo tank top Formal,ao-tank-top-formal-74,Áo tank top xanh phong cách Formal dành cho Nam - Áo,310000,Active,0,2026-02-08 10:00:00
75,1,,Áo hoodie mỏng Formal,ao-hoodie-mong-formal-75,Áo hoodie mỏng đen phong cách Formal dành cho Nam - Áo,343000,Active,0,2026-02-08 10:00:00
76,6,,Quần short nữ Streetwear,quan-short-nu-streetwear-76,Quần short nữ xám phong cách Streetwear dành cho Nữ - Quần,810000,Active,0,2026-02-08 10:00:00
77,7,,Túi xách Sporty,tui-xach-sporty-77,Túi xách đen phong cách Sporty dành cho Phụ kiện,296000,Active,0,2026-02-08 10:00:00
78,7,,Đồng hồ Formal,ong-ho-formal-78,Đồng hồ xám phong cách Formal dành cho Phụ kiện,666000,Active,0,2026-02-08 10:00:00
79,7,,Thắt lưng Formal,that-lung-formal-79,Thắt lưng xám phong cách Formal dành cho Phụ kiện,131000,Active,0,2026-02-08 10:00:00
80,6,,Quần legging Streetwear,quan-legging-streetwear-80,Quần legging trắng phong cách Streetwear dành cho Nữ - Quần,931000,Active,0,2026-02-08 10:00:00
81,2,,Quần jean Formal,quan-jean-formal-81,Quần jean đen phong cách Formal dành cho Nam - Quần,1186000,Active,0,2026-02-08 10:00:00
82,3,,Áo hoodie Vintage,ao-hoodie-vintage-82,Áo hoodie đen phong cách Vintage dành cho Nam - Áo khoác,1671000,Active,0,2026-02-08 10:00:00
83,2,,Quần âu Streetwear,quan-au-streetwear-83,Quần âu xanh phong cách Streetwear dành cho Nam - Quần,543000,Active,0,2026-02-08 10:00:00
84,4,,Áo blouse Streetwear,ao-blouse-streetwear-84,Áo blouse đen phong cách Streetwear dành cho Nữ - Áo,784000,Active,0,2026-02-08 10:00:00
85,7,,Khăn quàng cổ Sporty,khan-quang-co-sporty-85,Khăn quàng cổ trắng phong cách Sporty dành cho Phụ kiện,939000,Active,0,2026-02-08 10:00:00
86,1,,Áo sweater Casual,ao-sweater-casual-86,Áo sweater trắng phong cách Casual dành cho Nam - Áo,152000,Active,0,2026-02-08 10:00:00
87,2,,Quần chino Minimal,quan-chino-minimal-87,Quần chino xanh phong cách Minimal dành cho Nam - Quần,681000,Active,0,2026-02-08 10:00:00
88,5,,Đầm maxi Streetwear,am-maxi-streetwear-88,Đầm maxi đen phong cách Streetwear dành cho Nữ - Váy & Đầm,1962000,Active,0,2026-02-08 10:00:00
89,1,,Áo hoodie mỏng Sporty,ao-hoodie-mong-sporty-89,Áo hoodie mỏng be phong cách Sporty dành cho Nam - Áo,515000,Active,0,2026-02-08 10:00:00
90,5,,Váy bút chì Minimal,vay-but-chi-minimal-90,Váy bút chì xám phong cách Minimal dành cho Nữ - Váy & Đầm,1735000,Active,0,2026-02-08 10:00:00
91,3,,Áo hoodie Formal,ao-hoodie-formal-91,Áo hoodie trắng phong cách Formal dành cho Nam - Áo khoác,1274000,Active,0,2026-02-08 10:00:00
92,1,,Áo sweater Streetwear,ao-sweater-streetwear-92,Áo sweater trắng phong cách Streetwear dành cho Nam - Áo,237000,Active,0,2026-02-08 10:00:00
93,4,,Áo blouse Vintage,ao-blouse-vintage-93,Áo blouse be phong cách Vintage dành cho Nữ - Áo,344000,Active,0,2026-02-08 10:00:00
94,7,,Túi xách Minimal,tui-xach-minimal-94,Túi xách xanh phong cách Minimal dành cho Phụ kiện,176000,Active,0,2026-02-08 10:00:00
95,8,,Giày sneaker Minimal,giay-sneaker-minimal-95,Giày sneaker xanh phong cách Minimal dành cho Giày dép,1736000,Active,0,2026-02-08 10:00:00
96,1,,Áo polo Sporty,ao-polo-sporty-96,Áo polo be phong cách Sporty dành cho Nam - Áo,200000,Active,0,2026-02-08 10:00:00
97,8,,Giày lười Vintage,giay-luoi-vintage-97,Giày lười xanh phong cách Vintage dành cho Giày dép,1655000,Active,0,2026-02-08 10:00:00
98,7,,Đồng hồ Sporty,ong-ho-sporty-98,Đồng hồ xám phong cách Sporty dành cho Phụ kiện,206000,Active,0,2026-02-08 10:00:00
99,4,,Áo crop top Sporty,ao-crop-top-sporty-99,Áo crop top xám phong cách Sporty dành cho Nữ - Áo,289000,Active,0,2026-02-08 10:00:00
100,7,,Túi xách Formal,tui-xach-formal-100,Túi xách xanh phong cách Formal dành cho Phụ kiện,520000,Active,0,2026-02-08 10:00:00
